Episodio,Tiempo(s),RecompensaTotal,Resultado
0,0.24,1.04,EXITO
0,0.30,1.07,EXITO
0,1.12,1.04,EXITO
0,1.30,1.05,EXITO
0,1.54,1.12,EXITO
0,1.70,1.04,EXITO
0,2.04,1.14,EXITO
1,1.75,1.11,EXITO
0,2.28,1.10,EXITO
1,0.45,1.10,EXITO
0,2.54,1.24,EXITO
1,1.32,1.04,EXITO
0,2.92,1.17,EXITO
0,2.98,1.12,EXITO
2,0.70,1.29,EXITO
1,1.47,1.09,EXITO
1,2.79,1.24,EXITO
1,0.59,1.19,EXITO
0,3.40,1.09,EXITO
0,3.68,1.21,EXITO
0,3.94,1.21,EXITO
2,1.45,1.08,EXITO
1,0.63,1.17,EXITO
1,1.13,1.05,EXITO
1,2.03,1.21,EXITO
1,1.44,1.05,EXITO
1,4.09,1.24,EXITO
2,2.13,1.19,EXITO
2,2.30,1.21,EXITO
2,0.39,1.08,EXITO
1,3.55,1.09,EXITO
2,2.61,1.19,EXITO
2,3.22,1.10,EXITO
1,2.55,1.20,EXITO
2,1.82,1.12,EXITO
3,3.31,1.17,EXITO
1,3.07,1.22,EXITO
2,2.88,1.23,EXITO
2,2.91,1.26,EXITO
3,1.67,1.11,EXITO
3,2.16,1.16,EXITO
2,1.42,1.02,EXITO
3,3.91,1.21,EXITO
3,1.86,1.17,EXITO
3,1.77,1.12,EXITO
4,0.38,1.07,EXITO
2,4.35,1.19,EXITO
4,2.00,1.13,EXITO
3,2.05,1.15,EXITO
3,1.65,1.11,EXITO
3,3.33,1.24,EXITO
4,1.25,1.10,EXITO
4,2.04,1.18,EXITO
3,2.27,1.24,EXITO
4,1.21,1.03,EXITO
5,1.73,1.07,EXITO
4,2.54,1.23,EXITO
4,2.27,1.12,EXITO
5,0.51,1.16,EXITO
2,4.15,1.11,EXITO
4,2.48,1.21,EXITO
3,4.33,1.14,EXITO
5,2.83,1.20,EXITO
2,6.21,1.00,EXITO
1,2.48,1.19,EXITO
3,3.49,1.21,EXITO
6,1.85,1.23,EXITO
4,2.08,1.12,EXITO
5,2.25,1.19,EXITO
5,2.42,1.12,EXITO
4,4.05,1.21,EXITO
5,4.03,1.14,EXITO
5,4.30,1.23,EXITO
3,1.55,1.06,EXITO
6,1.07,1.06,EXITO
5,0.54,1.15,EXITO
7,2.13,1.21,EXITO
2,2.39,1.08,EXITO
4,2.40,1.22,EXITO
6,3.55,1.26,EXITO
7,0.65,1.24,EXITO
5,3.60,1.19,EXITO
4,3.30,1.14,EXITO
6,1.65,1.04,EXITO
5,0.67,1.17,EXITO
8,0.80,1.28,EXITO
6,1.67,1.11,EXITO
6,2.75,1.17,EXITO
5,0.77,1.29,EXITO
6,0.82,1.05,EXITO
4,2.21,1.21,EXITO
6,4.69,1.23,EXITO
7,1.81,1.07,EXITO
6,2.69,1.18,EXITO
3,2.34,1.20,EXITO
8,2.13,1.11,EXITO
5,4.78,1.23,EXITO
7,1.68,1.09,EXITO
1,8.06,1.11,EXITO
6,2.14,1.11,EXITO
6,1.81,1.18,EXITO
9,1.25,1.12,EXITO
7,2.17,1.20,EXITO
7,2.69,1.25,EXITO
5,2.48,1.21,EXITO
8,1.28,0.98,EXITO
7,3.33,1.12,EXITO
7,1.27,1.04,EXITO
8,0.63,1.22,EXITO
9,3.84,1.16,EXITO
8,2.95,1.01,EXITO
2,2.11,1.11,EXITO
7,2.70,1.22,EXITO
7,1.87,1.08,EXITO
9,0.55,1.18,EXITO
6,2.94,1.24,EXITO
4,3.25,1.04,EXITO
9,1.46,1.02,EXITO
6,2.24,1.27,EXITO
8,1.80,1.21,EXITO
8,2.55,1.20,EXITO
8,1.56,1.05,EXITO
8,1.89,1.11,EXITO
10,3.17,1.18,EXITO
8,2.79,1.08,EXITO
3,2.65,0.99,EXITO
7,2.13,1.12,EXITO
10,3.07,1.19,EXITO
5,2.38,1.16,EXITO
4,0.27,1.03,EXITO
9,3.25,1.06,EXITO
9,1.92,1.13,EXITO
4,2.34,1.12,EXITO
7,2.34,1.20,EXITO
9,1.63,1.12,EXITO
10,3.62,1.09,EXITO
9,2.25,1.29,EXITO
9,2.93,1.06,EXITO
10,0.59,1.19,EXITO
11,2.83,1.11,EXITO
9,3.31,1.24,EXITO
5,2.55,1.28,EXITO
11,2.90,1.21,EXITO
5,2.25,1.10,EXITO
6,2.79,0.97,EXITO
8,3.29,0.98,EXITO
8,0.68,1.06,EXITO
10,3.15,1.08,EXITO
8,2.72,1.27,EXITO
10,2.26,1.28,EXITO
10,3.49,1.21,EXITO
6,1.15,1.05,EXITO
11,2.75,1.00,EXITO
12,2.29,1.28,EXITO
10,2.51,1.14,EXITO
6,1.67,1.03,EXITO
7,1.87,1.22,EXITO
10,3.37,1.11,EXITO
11,1.62,1.06,EXITO
12,0.57,1.21,EXITO
12,3.19,1.05,EXITO
9,3.20,1.16,EXITO
11,2.46,1.27,EXITO
13,2.13,1.14,EXITO
11,3.01,1.15,EXITO
10,0.39,1.08,EXITO
12,0.35,1.07,EXITO
11,2.39,1.28,EXITO
8,2.23,1.17,EXITO
9,3.73,1.16,EXITO
11,0.36,1.04,EXITO
7,3.34,1.20,EXITO
7,2.73,1.13,EXITO
12,3.54,1.08,EXITO
11,2.65,1.21,EXITO
13,1.96,1.15,EXITO
12,1.33,1.06,EXITO
14,1.66,1.02,EXITO
11,1.36,1.01,EXITO
13,2.39,1.26,EXITO
9,1.44,0.98,EXITO
10,1.50,1.08,EXITO
13,2.02,1.14,EXITO
12,1.63,1.08,EXITO
14,0.55,1.13,EXITO
14,0.30,1.04,EXITO
15,0.47,1.14,EXITO
13,2.17,1.16,EXITO
8,2.53,1.06,EXITO
12,2.96,1.27,EXITO
14,2.32,1.19,EXITO
15,2.09,1.12,EXITO
12,1.95,1.05,EXITO
13,2.45,1.14,EXITO
11,1.82,1.08,EXITO
10,1.99,1.07,EXITO
16,0.77,1.04,EXITO
8,3.95,1.16,EXITO
16,1.67,1.09,EXITO
9,1.47,1.04,EXITO
15,2.07,1.13,EXITO
11,0.76,1.29,EXITO
12,4.13,1.15,EXITO
13,2.65,1.27,EXITO
12,1.14,1.02,EXITO
13,1.93,1.14,EXITO
14,2.41,1.11,EXITO
13,2.14,1.21,EXITO
12,1.70,1.09,EXITO
14,0.68,1.19,EXITO
16,1.92,1.15,EXITO
14,3.15,1.16,EXITO
17,2.27,1.26,EXITO
15,1.49,1.01,EXITO
10,2.41,1.11,EXITO
15,3.83,1.02,EXITO
9,3.05,1.11,EXITO
13,2.76,1.27,EXITO
16,0.43,1.11,EXITO
17,3.47,1.03,EXITO
14,2.91,1.01,EXITO
14,3.19,1.21,EXITO
16,1.47,1.03,EXITO
15,1.71,1.19,EXITO
15,2.14,1.22,EXITO
18,1.67,1.14,EXITO
10,3.40,1.22,EXITO
13,2.99,1.27,EXITO
17,3.18,0.97,EXITO
18,1.97,1.15,EXITO
14,2.29,1.21,EXITO
16,1.49,1.04,EXITO
17,1.85,1.02,EXITO
14,1.33,1.11,EXITO
11,3.89,1.20,EXITO
19,2.31,1.20,EXITO
17,3.51,1.18,EXITO
18,1.65,1.10,EXITO
15,3.53,1.14,EXITO
10,4.60,1.09,EXITO
19,2.26,1.16,EXITO
11,3.31,1.17,EXITO
12,1.17,0.99,EXITO
18,1.69,1.10,EXITO
16,3.81,1.19,EXITO
17,2.29,1.14,EXITO
15,2.87,1.07,EXITO
12,0.44,1.09,EXITO
15,5.21,1.07,EXITO
13,8.74,0.83,EXITO
