Episodio,Tiempo(s),RecompensaTotal,Resultado
0,0.30,1.06,EXITO
0,0.30,1.06,EXITO
0,0.46,1.17,EXITO
0,1.08,1.04,EXITO
0,1.20,2.05,EXITO
1,0.38,1.07,EXITO
1,0.38,1.08,EXITO
0,1.34,3.01,EXITO
0,1.46,4.01,EXITO
0,1.46,1.02,EXITO
0,1.58,2.08,EXITO
0,1.66,3.09,EXITO
0,1.78,4.05,EXITO
0,1.86,1.10,EXITO
0,1.94,1.15,EXITO
0,1.96,2.16,EXITO
0,2.02,1.15,EXITO
0,2.04,2.20,EXITO
0,2.04,3.16,EXITO
0,2.08,1.12,EXITO
0,2.10,2.17,EXITO
0,2.12,3.21,EXITO
0,2.14,4.12,EXITO
0,2.16,2.12,EXITO
0,2.20,1.13,EXITO
0,2.22,3.13,EXITO
0,2.28,2.17,EXITO
0,2.28,3.08,EXITO
1,1.40,1.12,EXITO
0,2.32,4.11,EXITO
0,2.36,3.19,EXITO
0,2.38,4.07,EXITO
1,1.50,2.11,EXITO
0,2.44,5.15,EXITO
0,2.46,1.19,EXITO
1,0.28,1.10,EXITO
0,2.48,4.14,EXITO
0,2.48,5.11,EXITO
1,1.62,3.07,EXITO
0,2.54,2.19,EXITO
0,2.56,5.13,EXITO
0,2.64,3.15,EXITO
0,2.72,4.15,EXITO
2,0.19,1.07,EXITO
0,2.94,0.99,EXITO
0,2.96,1.08,EXITO
0,3.04,2.03,EXITO
0,3.04,2.08,EXITO
2,0.49,1.16,EXITO
0,3.10,0.99,EXITO
0,3.12,3.04,EXITO
0,3.14,3.12,EXITO
0,3.20,2.04,EXITO
0,3.22,4.13,EXITO
2,0.44,1.03,EXITO
0,3.24,3.99,EXITO
0,3.28,3.04,EXITO
0,3.32,1.13,EXITO
0,3.40,2.13,EXITO
0,3.48,1.21,EXITO
3,0.70,1.09,EXITO
0,3.50,3.08,EXITO
2,1.67,1.07,EXITO
3,0.24,1.15,EXITO
0,3.58,2.25,EXITO
2,1.77,2.12,EXITO
0,3.66,3.25,EXITO
3,0.76,1.06,EXITO
