Episodio,Tiempo(s),RecompensaTotal,Resultado
3,3.33,1.09,EXITO
5,2.01,1.14,EXITO
7,2.44,1.27,EXITO
5,4.49,0.94,EXITO
5,2.65,1.19,EXITO
5,2.11,1.10,EXITO
5,3.21,1.06,EXITO
4,2.47,1.04,EXITO
8,1.34,1.05,EXITO
6,0.62,1.17,EXITO
9,0.57,1.18,EXITO
5,3.65,1.13,EXITO
5,0.96,1.01,EXITO
5,3.48,1.05,EXITO
8,3.28,1.01,EXITO
4,2.94,0.96,EXITO
6,1.93,1.20,EXITO
6,2.19,1.13,EXITO
7,3.82,1.22,EXITO
5,3.75,1.15,EXITO
5,3.90,1.15,EXITO
8,4.63,1.11,EXITO
10,1.70,1.04,EXITO
6,1.68,1.10,EXITO
7,1.37,1.00,EXITO
7,2.12,1.12,EXITO
6,4.84,0.94,EXITO
5,1.80,1.12,EXITO
6,2.13,1.12,EXITO
8,1.35,1.04,EXITO
7,2.04,1.18,EXITO
6,2.54,1.29,EXITO
9,1.57,1.07,EXITO
6,2.16,1.29,EXITO
8,1.46,1.00,EXITO
7,1.55,1.09,EXITO
9,0.31,1.04,EXITO
8,2.02,1.16,EXITO
9,3.86,1.14,EXITO
8,1.52,1.07,EXITO
10,1.31,1.17,EXITO
11,2.73,1.05,EXITO
6,3.75,0.99,EXITO
7,2.43,1.25,EXITO
6,2.65,1.20,EXITO
7,2.01,1.11,EXITO
7,3.75,1.17,EXITO
1,20.61,0.58,EXITO
11,1.25,1.06,EXITO
9,3.39,1.02,EXITO
8,0.62,1.24,EXITO
9,2.08,1.13,EXITO
9,2.27,1.20,EXITO
7,1.79,1.14,EXITO
8,3.16,0.94,EXITO
10,0.58,1.23,EXITO
7,2.39,1.20,EXITO
12,2.87,1.09,EXITO
9,1.29,1.02,EXITO
10,1.61,1.04,EXITO
10,3.70,1.03,EXITO
8,3.12,1.25,EXITO
11,0.50,1.16,EXITO
12,2.20,1.17,EXITO
10,3.90,0.99,EXITO
10,1.88,1.23,EXITO
8,0.54,1.14,EXITO
8,2.88,1.24,EXITO
7,6.32,0.90,EXITO
8,2.30,1.26,EXITO
8,0.44,1.13,EXITO
13,1.43,1.03,EXITO
11,2.09,1.10,EXITO
12,1.91,1.08,EXITO
11,2.02,1.07,EXITO
9,3.21,1.21,EXITO
9,2.46,1.25,EXITO
13,3.34,0.94,EXITO
9,2.44,1.21,EXITO
13,0.93,1.32,EXITO
10,0.56,1.15,EXITO
11,3.74,1.20,EXITO
9,3.51,1.20,EXITO
10,1.09,1.04,EXITO
7,3.32,1.09,EXITO
11,3.96,1.17,EXITO
11,0.40,1.09,EXITO
9,2.78,1.15,EXITO
14,2.64,1.22,EXITO
9,3.57,1.08,EXITO
14,2.12,1.14,EXITO
12,0.89,1.26,EXITO
10,2.42,1.24,EXITO
12,3.78,1.19,EXITO
14,2.40,1.21,EXITO
10,2.00,1.05,EXITO
12,2.40,1.07,EXITO
10,1.55,1.08,EXITO
13,0.98,0.99,EXITO
10,2.16,1.07,EXITO
12,4.71,1.19,EXITO
15,2.77,1.21,EXITO
11,4.16,1.06,EXITO
15,2.80,1.24,EXITO
11,2.43,1.25,EXITO
14,1.68,1.08,EXITO
12,3.84,1.02,EXITO
8,4.36,1.22,EXITO
13,2.06,1.14,EXITO
2,10.90,0.81,EXITO
13,2.95,1.26,EXITO
15,3.13,1.09,EXITO
13,2.03,1.15,EXITO
11,2.09,1.08,EXITO
14,0.92,1.06,EXITO
14,0.41,1.11,EXITO
11,3.58,1.21,EXITO
11,0.38,1.10,EXITO
16,2.46,1.29,EXITO
11,3.72,1.20,EXITO
12,2.72,0.99,EXITO
3,2.14,1.16,EXITO
12,2.62,1.28,EXITO
16,2.80,1.20,EXITO
12,1.23,1.07,EXITO
15,3.00,1.00,EXITO
12,1.91,1.16,EXITO
13,3.73,1.00,EXITO
15,2.79,1.25,EXITO
12,2.93,1.04,EXITO
13,1.36,1.01,EXITO
13,1.28,1.07,EXITO
12,2.61,1.12,EXITO
14,3.45,1.00,EXITO
16,3.99,1.15,EXITO
16,1.64,0.98,EXITO
4,2.33,1.10,EXITO
14,0.60,1.17,EXITO
13,1.72,1.02,EXITO
15,4.07,1.20,EXITO
17,2.48,1.24,EXITO
14,1.83,1.08,EXITO
17,4.09,1.18,EXITO
14,1.89,1.20,EXITO
16,2.32,1.20,EXITO
15,1.43,1.09,EXITO
15,1.84,1.02,EXITO
17,1.87,1.05,EXITO
5,1.93,1.11,EXITO
17,2.37,1.01,EXITO
13,3.14,1.21,EXITO
6,0.28,1.03,EXITO
18,0.40,1.10,EXITO
13,5.14,1.18,EXITO
14,3.19,1.20,EXITO
17,1.96,1.17,EXITO
15,2.72,1.19,EXITO
16,2.40,1.20,EXITO
16,2.40,1.05,EXITO
15,2.54,1.10,EXITO
18,3.38,1.09,EXITO
16,4.00,1.22,EXITO
18,2.13,1.20,EXITO
13,5.21,1.21,EXITO
14,2.29,1.26,EXITO
7,2.78,1.10,EXITO
19,2.82,1.20,EXITO
17,1.30,0.99,EXITO
16,2.20,1.25,EXITO
15,2.66,1.28,EXITO
17,1.74,1.01,EXITO
19,1.94,1.13,EXITO
14,1.58,1.09,EXITO
18,0.41,1.11,EXITO
19,2.48,1.18,EXITO
8,2.12,1.13,EXITO
18,3.88,1.22,EXITO
17,1.76,1.09,EXITO
20,1.51,1.05,EXITO
17,4.03,1.19,EXITO
10,3.64,1.14,EXITO
16,4.33,1.21,EXITO
9,1.01,1.10,EXITO
20,1.42,1.25,EXITO
20,3.66,1.18,EXITO
15,2.74,1.06,EXITO
18,1.28,1.12,EXITO
16,3.64,1.23,EXITO
15,5.17,1.17,EXITO
19,3.10,1.23,EXITO
19,2.46,1.05,EXITO
19,1.32,1.03,EXITO
10,1.97,1.23,EXITO
21,2.66,1.24,EXITO
17,2.27,1.18,EXITO
21,2.46,1.25,EXITO
16,1.22,1.04,EXITO
22,0.38,1.08,EXITO
11,3.21,1.15,EXITO
17,2.20,1.09,EXITO
22,0.75,1.30,EXITO
16,2.96,1.08,EXITO
12,0.76,1.18,EXITO
20,2.57,1.25,EXITO
18,4.56,1.17,EXITO
17,1.49,1.05,EXITO
20,2.36,1.09,EXITO
18,2.22,1.13,EXITO
20,3.32,1.15,EXITO
21,4.46,1.20,EXITO
11,3.08,1.19,EXITO
15,1.90,1.14,EXITO
21,1.42,1.04,EXITO
19,4.26,1.24,EXITO
18,2.06,1.19,EXITO
23,2.93,1.03,EXITO
17,2.30,1.15,EXITO
18,9.42,0.93,EXITO
22,0.36,1.04,EXITO
18,1.96,1.13,EXITO
23,2.86,1.26,EXITO
13,2.46,1.16,EXITO
19,1.85,1.16,EXITO
12,1.42,1.13,EXITO
19,2.62,1.27,EXITO
21,2.07,1.17,EXITO
14,0.48,1.11,EXITO
13,0.32,1.04,EXITO
19,1.12,1.05,EXITO
22,2.50,1.27,EXITO
21,2.95,1.18,EXITO
18,1.77,1.09,EXITO
24,2.20,1.23,EXITO
16,2.44,1.28,EXITO
19,1.70,1.13,EXITO
20,2.48,1.27,EXITO
19,2.68,1.25,EXITO
20,2.24,1.25,EXITO
20,0.56,1.19,EXITO
24,2.61,1.23,EXITO
22,1.84,1.12,EXITO
14,2.14,1.10,EXITO
15,2.39,1.09,EXITO
19,1.90,1.17,EXITO
23,2.44,1.17,EXITO
22,3.09,1.08,EXITO
21,1.48,1.05,EXITO
17,2.47,1.22,EXITO
25,2.92,0.99,EXITO
21,2.80,1.24,EXITO
21,2.15,1.20,EXITO
20,2.67,1.20,EXITO
20,3.82,1.24,EXITO
16,1.55,1.07,EXITO
24,1.21,1.06,EXITO
23,5.29,1.17,EXITO
17,0.27,1.04,EXITO
25,0.29,1.06,EXITO
15,2.42,1.28,EXITO
20,5.54,1.16,EXITO
25,3.24,1.03,EXITO
23,2.34,1.17,EXITO
22,2.20,1.20,EXITO
23,3.51,1.05,EXITO
26,0.61,1.20,EXITO
26,1.34,1.04,EXITO
20,3.62,1.25,EXITO
21,2.35,1.18,EXITO
22,2.56,0.99,EXITO
18,2.06,1.16,EXITO
18,3.46,1.06,EXITO
21,2.93,1.25,EXITO
22,3.11,1.01,EXITO
21,2.26,1.11,EXITO
26,3.67,1.16,EXITO
24,1.62,1.02,EXITO
16,2.76,1.23,EXITO
24,3.88,1.20,EXITO
21,1.68,1.07,EXITO
25,0.69,1.28,EXITO
24,3.25,1.01,EXITO
27,2.37,1.21,EXITO
27,2.49,1.13,EXITO
22,1.78,1.14,EXITO
22,2.37,1.24,EXITO
27,1.37,1.02,EXITO
23,3.50,1.01,EXITO
23,2.62,1.19,EXITO
17,1.54,1.07,EXITO
25,1.52,1.06,EXITO
23,1.40,1.03,EXITO
22,2.36,1.24,EXITO
19,3.73,1.21,EXITO
23,3.58,1.06,EXITO
26,2.24,1.18,EXITO
24,1.70,1.10,EXITO
25,2.71,1.19,EXITO
24,1.68,1.08,EXITO
22,3.71,1.19,EXITO
23,2.46,1.27,EXITO
24,0.74,1.28,EXITO
19,4.94,1.22,EXITO
25,0.66,1.25,EXITO
28,3.38,1.23,EXITO
24,0.64,1.20,EXITO
28,3.25,1.14,EXITO
28,4.08,1.20,EXITO
26,1.83,1.09,EXITO
20,2.16,1.09,EXITO
26,2.71,1.19,EXITO
25,1.46,1.02,EXITO
26,1.33,1.03,EXITO
27,2.62,1.19,EXITO
23,2.82,1.07,EXITO
21,0.40,1.10,EXITO
18,4.30,1.24,EXITO
25,3.13,1.18,EXITO
29,2.09,1.08,EXITO
24,3.90,1.09,EXITO
20,2.66,1.22,EXITO
29,1.67,1.10,EXITO
26,0.28,1.03,EXITO
23,3.30,1.18,EXITO
25,2.32,1.20,EXITO
26,1.67,1.07,EXITO
27,1.97,1.16,EXITO
29,2.88,1.04,EXITO
24,1.86,1.06,EXITO
27,2.61,1.00,EXITO
27,1.05,1.03,EXITO
24,1.23,1.00,EXITO
25,0.46,1.10,EXITO
28,0.37,1.06,EXITO
25,1.88,1.16,EXITO
30,2.09,1.01,EXITO
27,1.67,1.08,EXITO
27,3.44,1.15,EXITO
28,3.48,1.15,EXITO
28,2.00,1.24,EXITO
25,1.20,1.04,EXITO
31,0.44,1.12,EXITO
30,2.02,1.17,EXITO
26,2.66,1.00,EXITO
22,3.90,1.14,EXITO
29,1.08,1.04,EXITO
19,3.96,1.02,EXITO
26,1.90,1.14,EXITO
20,0.58,1.22,EXITO
31,1.16,1.04,EXITO
29,1.60,1.02,EXITO
21,4.63,1.20,EXITO
28,2.06,1.06,EXITO
26,2.78,1.27,EXITO
28,2.51,1.29,EXITO
29,2.12,1.20,EXITO
21,0.92,1.03,EXITO
22,0.74,1.29,EXITO
30,2.30,1.14,EXITO
23,2.62,1.03,EXITO
27,2.66,1.03,EXITO
28,4.66,1.20,EXITO
32,3.10,1.15,EXITO
32,1.74,1.14,EXITO
27,1.69,0.99,EXITO
22,1.64,1.09,EXITO
27,3.22,1.05,EXITO
29,1.30,1.12,EXITO
23,0.48,1.11,EXITO
30,3.30,1.00,EXITO
30,2.62,1.07,EXITO
29,3.22,1.25,EXITO
29,2.96,1.25,EXITO
31,2.38,1.26,EXITO
23,2.42,1.26,EXITO
26,5.96,1.13,EXITO
30,1.38,1.05,EXITO
28,2.14,1.17,EXITO
33,2.90,1.03,EXITO
27,0.41,1.12,EXITO
28,2.51,1.27,EXITO
33,3.52,1.10,EXITO
28,3.91,1.17,EXITO
24,4.55,1.14,EXITO
31,2.50,1.08,EXITO
32,2.24,1.27,EXITO
31,2.62,1.24,EXITO
24,3.66,1.17,EXITO
30,3.61,1.10,EXITO
29,1.93,1.14,EXITO
24,3.68,1.21,EXITO
31,3.31,1.24,EXITO
32,1.65,1.07,EXITO
25,0.26,1.03,EXITO
28,2.76,1.07,EXITO
34,3.18,1.00,EXITO
32,1.94,1.12,EXITO
29,3.99,1.02,EXITO
30,1.32,1.07,EXITO
25,2.74,1.24,EXITO
30,5.39,1.00,EXITO
29,3.85,1.14,EXITO
25,2.64,1.27,EXITO
32,1.69,1.05,EXITO
34,4.47,1.20,EXITO
33,4.06,1.19,EXITO
26,0.48,1.14,EXITO
26,2.53,1.28,EXITO
30,1.87,1.12,EXITO
33,2.89,0.99,EXITO
29,3.23,1.10,EXITO
35,3.31,1.17,EXITO
34,1.28,1.05,EXITO
31,2.67,1.19,EXITO
26,3.16,1.17,EXITO
33,2.45,1.28,EXITO
32,0.28,1.02,EXITO
35,2.58,1.14,EXITO
30,3.29,1.25,EXITO
33,4.63,1.22,EXITO
27,2.14,1.12,EXITO
30,1.48,1.10,EXITO
36,0.18,1.02,EXITO
34,2.00,1.14,EXITO
27,3.16,1.17,EXITO
31,6.32,1.10,EXITO
31,0.54,1.19,EXITO
31,4.90,1.19,EXITO
34,1.60,1.04,EXITO
32,0.39,1.07,EXITO
27,2.14,1.21,EXITO
28,0.77,1.31,EXITO
35,0.35,1.07,EXITO
33,2.16,1.08,EXITO
35,3.61,1.19,EXITO
37,2.42,1.19,EXITO
28,2.88,1.15,EXITO
28,1.42,1.03,EXITO
35,2.86,1.17,EXITO
31,3.37,1.18,EXITO
29,0.35,1.08,EXITO
32,2.91,1.02,EXITO
29,0.51,1.14,EXITO
32,1.86,1.08,EXITO
29,2.22,1.15,EXITO
36,2.30,1.24,EXITO
30,0.48,1.13,EXITO
34,4.24,1.19,EXITO
32,3.32,1.20,EXITO
38,1.96,1.00,EXITO
33,3.37,0.98,EXITO
34,2.94,1.27,EXITO
36,2.13,1.15,EXITO
36,3.34,1.04,EXITO
30,2.06,1.13,EXITO
32,2.76,1.07,EXITO
31,1.94,1.01,EXITO
35,2.08,1.00,EXITO
32,0.28,1.04,EXITO
33,3.08,1.03,EXITO
37,2.93,1.13,EXITO
39,2.44,1.27,EXITO
33,0.38,1.08,EXITO
33,3.48,1.16,EXITO
31,1.22,1.05,EXITO
30,3.35,1.01,EXITO
37,1.94,1.17,EXITO
34,2.80,1.20,EXITO
33,3.54,1.04,EXITO
34,0.50,1.12,EXITO
36,1.69,1.02,EXITO
34,1.37,1.05,EXITO
38,1.18,1.04,EXITO
35,1.04,1.04,EXITO
33,2.63,1.25,EXITO
32,1.44,1.00,EXITO
34,1.95,1.21,EXITO
37,3.60,1.18,EXITO
37,1.30,1.08,EXITO
37,1.60,1.13,EXITO
38,0.29,1.03,EXITO
35,1.90,1.12,EXITO
40,2.79,1.23,EXITO
35,1.40,1.03,EXITO
31,2.72,1.02,EXITO
38,0.18,1.01,EXITO
32,3.46,1.17,EXITO
38,4.01,1.14,EXITO
33,2.10,1.15,EXITO
34,3.24,0.97,EXITO
41,1.16,1.03,EXITO
39,1.32,1.08,EXITO
36,1.62,0.97,EXITO
35,2.50,1.01,EXITO
39,0.64,1.25,EXITO
39,3.22,1.14,EXITO
36,2.04,1.20,EXITO
32,2.16,1.24,EXITO
36,3.56,1.12,EXITO
33,2.12,1.26,EXITO
38,3.30,1.14,EXITO
34,4.16,1.06,EXITO
35,1.88,1.12,EXITO
39,2.82,1.03,EXITO
42,2.09,1.13,EXITO
37,1.76,1.08,EXITO
34,2.42,1.08,EXITO
39,0.53,1.14,EXITO
40,2.45,1.24,EXITO
40,0.33,1.06,EXITO
40,2.34,1.20,EXITO
36,1.23,1.00,EXITO
40,1.34,1.03,EXITO
37,2.50,1.03,EXITO
40,2.81,1.20,EXITO
34,2.28,1.06,EXITO
38,1.94,1.08,EXITO
38,0.67,1.12,EXITO
35,2.57,1.23,EXITO
35,0.24,1.02,EXITO
36,4.23,1.16,EXITO
35,2.38,1.25,EXITO
41,2.11,1.02,EXITO
36,0.56,1.17,EXITO
43,3.04,1.19,EXITO
41,2.11,1.13,EXITO
41,2.41,1.14,EXITO
41,2.80,1.23,EXITO
33,4.73,1.21,EXITO
37,4.75,1.15,EXITO
41,2.50,1.16,EXITO
37,2.90,1.13,EXITO
39,1.75,1.10,EXITO
37,1.53,1.07,EXITO
42,0.71,1.31,EXITO
36,2.34,1.01,EXITO
36,3.72,1.11,EXITO
39,2.42,1.14,EXITO
36,2.34,1.28,EXITO
37,2.10,1.12,EXITO
42,1.60,1.14,EXITO
38,1.59,1.08,EXITO
42,2.17,1.14,EXITO
38,1.46,1.05,EXITO
42,3.36,1.16,EXITO
43,0.42,1.08,EXITO
42,2.30,1.27,EXITO
40,2.27,1.16,EXITO
44,3.19,1.09,EXITO
34,2.81,1.12,EXITO
40,1.79,1.19,EXITO
38,2.57,1.23,EXITO
43,2.42,1.21,EXITO
37,1.98,1.12,EXITO
39,0.40,1.10,EXITO
35,0.85,1.00,EXITO
43,1.31,1.09,EXITO
45,1.09,1.03,EXITO
39,2.34,1.14,EXITO
43,1.41,1.04,EXITO
37,3.23,1.04,EXITO
38,2.87,1.05,EXITO
44,1.35,1.04,EXITO
46,0.61,1.24,EXITO
40,0.48,1.18,EXITO
39,2.63,0.99,EXITO
43,3.57,1.19,EXITO
44,2.64,1.17,EXITO
41,2.63,1.07,EXITO
37,4.49,1.19,EXITO
36,1.45,1.06,EXITO
40,1.77,1.09,EXITO
41,2.94,1.26,EXITO
42,0.54,1.14,EXITO
38,0.60,1.20,EXITO
44,0.85,1.06,EXITO
39,1.71,1.07,EXITO
44,2.69,1.22,EXITO
38,3.20,1.23,EXITO
44,2.47,1.16,EXITO
40,0.86,1.00,EXITO
41,1.89,1.07,EXITO
38,3.17,1.04,EXITO
45,2.27,1.20,EXITO
47,2.95,1.23,EXITO
43,1.66,1.12,EXITO
45,2.06,1.19,EXITO
42,2.78,1.20,EXITO
45,2.10,1.01,EXITO
41,1.54,1.03,EXITO
39,2.20,1.18,EXITO
48,1.29,1.05,EXITO
42,1.76,1.09,EXITO
37,3.89,1.11,EXITO
46,1.95,1.05,EXITO
39,3.63,1.00,EXITO
39,2.46,1.18,EXITO
45,5.48,0.97,EXITO
45,3.38,1.08,EXITO
44,2.26,1.19,EXITO
40,0.27,1.04,EXITO
49,1.00,1.06,EXITO
46,2.00,1.09,EXITO
41,5.89,1.13,EXITO
46,0.42,1.12,EXITO
46,1.58,1.08,EXITO
46,0.70,1.26,EXITO
45,0.55,1.17,EXITO
42,1.90,1.12,EXITO
38,1.57,1.07,EXITO
41,0.71,1.29,EXITO
47,0.44,1.10,EXITO
48,0.19,1.01,EXITO
42,0.42,1.11,EXITO
43,2.41,1.23,EXITO
46,1.58,1.05,EXITO
47,1.92,1.19,EXITO
40,3.64,1.18,EXITO
40,2.71,1.18,EXITO
43,4.14,1.20,EXITO
47,2.36,1.28,EXITO
42,2.44,1.17,EXITO
41,0.33,1.05,EXITO
39,2.20,1.24,EXITO
44,0.31,1.04,EXITO
47,2.60,1.22,EXITO
49,1.84,1.09,EXITO
43,1.90,1.13,EXITO
43,3.24,1.13,EXITO
50,4.05,1.17,EXITO
48,1.90,1.13,EXITO
40,1.23,1.12,EXITO
41,2.10,1.09,EXITO
48,2.04,1.22,EXITO
47,2.48,1.27,EXITO
45,2.03,1.15,EXITO
44,3.67,1.10,EXITO
42,2.22,1.19,EXITO
43,2.50,1.22,EXITO
51,1.29,1.07,EXITO
47,6.21,0.97,EXITO
50,2.13,1.11,EXITO
48,0.90,1.05,EXITO
49,1.16,1.05,EXITO
51,0.44,1.11,EXITO
48,2.96,1.05,EXITO
44,2.64,1.21,EXITO
42,2.09,1.10,EXITO
52,0.50,1.16,EXITO
49,2.58,1.00,EXITO
44,3.80,1.17,EXITO
43,1.92,1.01,EXITO
44,1.88,1.08,EXITO
46,2.09,1.17,EXITO
53,0.43,1.11,EXITO
48,1.98,1.14,EXITO
41,3.62,1.23,EXITO
52,2.24,1.24,EXITO
49,2.12,1.25,EXITO
41,4.04,1.13,EXITO
49,0.71,1.25,EXITO
47,1.12,1.07,EXITO
50,0.43,1.08,EXITO
45,3.67,1.06,EXITO
45,1.49,1.07,EXITO
42,1.18,1.03,EXITO
49,2.87,1.01,EXITO
50,3.24,1.16,EXITO
46,0.53,1.16,EXITO
43,0.56,1.20,EXITO
43,3.06,1.24,EXITO
50,2.85,1.16,EXITO
42,1.75,1.11,EXITO
50,2.01,1.17,EXITO
44,3.27,1.06,EXITO
45,3.99,1.17,EXITO
48,2.10,1.11,EXITO
53,3.00,1.16,EXITO
44,1.28,1.06,EXITO
54,4.02,1.20,EXITO
46,2.65,1.07,EXITO
50,2.35,1.13,EXITO
51,2.26,1.02,EXITO
47,2.27,1.23,EXITO
51,2.32,1.19,EXITO
44,2.46,1.19,EXITO
51,3.72,1.16,EXITO
48,0.38,1.06,EXITO
51,1.91,1.19,EXITO
43,2.34,1.21,EXITO
52,0.22,1.02,EXITO
54,1.93,1.06,EXITO
46,2.22,1.24,EXITO
53,0.38,1.09,EXITO
45,2.38,1.30,EXITO
49,2.91,1.24,EXITO
49,1.35,1.12,EXITO
45,3.41,1.21,EXITO
47,2.60,1.22,EXITO
55,3.07,1.11,EXITO
52,2.80,0.95,EXITO
52,2.19,1.21,EXITO
51,3.14,1.12,EXITO
56,0.50,1.13,EXITO
52,2.62,1.28,EXITO
54,1.98,1.26,EXITO
47,2.54,1.05,EXITO
50,1.68,1.07,EXITO
44,2.99,1.09,EXITO
45,8.90,0.89,EXITO
55,3.40,1.11,EXITO
48,2.78,1.00,EXITO
50,3.09,1.13,EXITO
45,4.81,1.10,EXITO
45,1.41,1.19,EXITO
53,2.78,1.09,EXITO
52,2.77,1.24,EXITO
46,0.38,1.09,EXITO
46,3.88,1.21,EXITO
46,4.36,1.18,EXITO
51,2.39,1.14,EXITO
46,2.08,1.21,EXITO
53,3.88,1.20,EXITO
56,2.07,1.21,EXITO
53,3.41,1.12,EXITO
52,0.60,1.19,EXITO
48,3.24,1.11,EXITO
57,3.68,1.20,EXITO
49,1.84,1.14,EXITO
51,1.90,1.14,EXITO
54,0.50,1.13,EXITO
55,3.92,1.22,EXITO
47,1.82,1.10,EXITO
53,2.54,1.17,EXITO
47,2.78,1.02,EXITO
50,1.52,1.06,EXITO
56,1.23,1.07,EXITO
54,3.51,1.15,EXITO
48,0.34,1.04,EXITO
58,2.07,1.12,EXITO
49,2.13,1.13,EXITO
55,1.70,1.09,EXITO
47,3.05,1.01,EXITO
47,3.43,1.25,EXITO
49,0.24,1.03,EXITO
52,2.48,1.23,EXITO
53,2.86,1.26,EXITO
57,3.40,1.18,EXITO
46,4.68,0.94,EXITO
54,3.90,1.24,EXITO
50,1.18,1.07,EXITO
55,1.43,1.05,EXITO
54,2.37,1.09,EXITO
51,2.04,1.03,EXITO
51,0.29,1.04,EXITO
59,1.94,1.14,EXITO
56,2.22,1.24,EXITO
53,1.76,1.04,EXITO
48,3.68,1.03,EXITO
55,1.14,1.07,EXITO
54,0.38,1.10,EXITO
50,2.60,1.24,EXITO
56,1.61,1.06,EXITO
57,3.43,1.08,EXITO
52,1.35,1.05,EXITO
47,2.43,1.06,EXITO
54,2.74,1.22,EXITO
48,3.17,1.04,EXITO
53,0.31,1.07,EXITO
49,0.35,1.05,EXITO
58,3.37,1.26,EXITO
55,3.30,1.09,EXITO
49,2.08,1.10,EXITO
51,1.52,1.02,EXITO
58,1.43,1.01,EXITO
60,3.08,1.13,EXITO
57,2.77,1.07,EXITO
59,0.48,1.15,EXITO
55,2.63,1.04,EXITO
58,0.59,1.19,EXITO
56,3.34,1.19,EXITO
48,2.93,1.20,EXITO
61,1.10,1.08,EXITO
55,2.92,1.13,EXITO
56,1.83,1.22,EXITO
59,2.62,1.25,EXITO
60,1.55,1.12,EXITO
57,4.03,1.18,EXITO
48,7.13,1.17,EXITO
50,2.64,1.21,EXITO
59,1.37,1.03,EXITO
57,0.87,1.06,EXITO
49,1.12,1.03,EXITO
57,1.49,1.03,EXITO
50,3.85,1.07,EXITO
52,3.24,1.01,EXITO
54,4.27,1.22,EXITO
61,0.75,1.20,EXITO
56,1.69,1.04,EXITO
56,2.43,1.22,EXITO
58,0.93,1.05,EXITO
62,0.59,1.20,EXITO
51,1.43,1.06,EXITO
60,1.61,1.08,EXITO
50,1.63,1.10,EXITO
51,1.70,1.12,EXITO
60,2.91,1.06,EXITO
58,2.67,1.09,EXITO
51,0.40,1.09,EXITO
58,2.00,1.20,EXITO
55,2.11,1.18,EXITO
61,0.60,1.19,EXITO
59,2.03,1.20,EXITO
49,3.59,1.21,EXITO
52,1.97,1.18,EXITO
63,2.28,1.22,EXITO
61,2.44,1.14,EXITO
57,3.53,1.01,EXITO
64,1.23,1.07,EXITO
60,1.79,1.11,EXITO
52,2.72,1.20,EXITO
59,2.93,1.02,EXITO
62,2.25,1.15,EXITO
57,5.01,1.22,EXITO
50,2.49,1.00,EXITO
56,3.27,1.05,EXITO
63,0.47,1.13,EXITO
52,4.04,1.11,EXITO
53,2.83,1.09,EXITO
53,2.68,1.22,EXITO
59,4.73,1.21,EXITO
62,2.87,1.20,EXITO
53,0.94,1.00,EXITO
58,3.13,1.14,EXITO
51,1.64,1.11,EXITO
65,2.76,1.18,EXITO
64,1.59,1.09,EXITO
53,2.63,1.20,EXITO
53,7.73,0.91,EXITO
61,2.85,1.23,EXITO
60,3.27,0.98,EXITO
62,0.43,1.09,EXITO
58,3.01,1.23,EXITO
54,2.14,1.19,EXITO
63,1.89,1.08,EXITO
64,0.26,1.02,EXITO
54,2.54,1.17,EXITO
