Episodio,Tiempo(s),RecompensaTotal,Resultado
0,0.42,1.14,EXITO
0,0.58,1.17,EXITO
0,0.88,1.05,EXITO
1,0.68,1.23,EXITO
0,1.30,1.07,EXITO
0,1.36,1.04,EXITO
0,1.64,1.12,EXITO
0,1.96,1.15,EXITO
0,1.96,1.14,EXITO
0,2.08,1.20,EXITO
0,2.20,1.07,EXITO
1,1.47,1.04,EXITO
0,2.32,1.16,EXITO
0,2.44,1.24,EXITO
0,2.44,1.25,EXITO
1,0.67,1.27,EXITO
1,0.56,1.21,EXITO
0,2.88,1.09,EXITO
0,2.98,1.04,EXITO
1,0.39,1.09,EXITO
0,3.04,1.02,EXITO
1,2.31,1.18,EXITO
2,1.14,1.08,EXITO
1,2.16,1.20,EXITO
1,1.94,1.11,EXITO
1,1.58,1.08,EXITO
2,0.63,1.22,EXITO
2,3.27,1.03,EXITO
3,0.33,1.06,EXITO
3,1.38,1.00,EXITO
1,3.06,1.08,EXITO
2,2.43,1.29,EXITO
2,2.38,1.24,EXITO
2,2.29,1.14,EXITO
3,0.23,1.03,EXITO
1,3.76,1.09,EXITO
1,3.11,1.20,EXITO
1,3.63,1.13,EXITO
1,3.17,1.27,EXITO
2,3.64,1.23,EXITO
3,1.52,1.07,EXITO
1,3.72,1.09,EXITO
2,1.81,1.07,EXITO
4,2.15,1.19,EXITO
2,3.43,1.14,EXITO
2,3.43,0.97,EXITO
4,1.17,1.05,EXITO
3,1.95,1.16,EXITO
4,2.53,1.05,EXITO
3,2.85,1.20,EXITO
4,3.38,1.12,EXITO
3,2.21,1.21,EXITO
2,2.58,1.22,EXITO
2,2.69,1.29,EXITO
5,0.28,1.04,EXITO
5,0.38,1.06,EXITO
2,2.14,1.14,EXITO
4,1.38,0.98,EXITO
3,2.44,1.17,EXITO
2,3.47,1.05,EXITO
5,2.24,1.08,EXITO
2,3.77,1.03,EXITO
3,2.47,1.06,EXITO
3,2.55,1.27,EXITO
6,1.06,1.04,EXITO
5,2.50,1.19,EXITO
3,1.46,1.05,EXITO
3,0.24,1.02,EXITO
3,1.53,1.03,EXITO
6,1.90,1.07,EXITO
4,0.66,1.21,EXITO
4,1.60,1.04,EXITO
4,0.45,1.13,EXITO
6,1.85,1.07,EXITO
4,3.38,1.15,EXITO
3,3.32,1.00,EXITO
4,1.67,1.03,EXITO
4,3.84,1.17,EXITO
7,0.48,1.13,EXITO
7,2.37,1.23,EXITO
4,2.60,1.15,EXITO
6,2.43,1.11,EXITO
4,2.35,1.14,EXITO
