Episodio,Tiempo(s),RecompensaTotal,Resultado
0,17.08,0.61,EXITO
2,16.76,0.64,EXITO
3,7.36,0.85,EXITO
1,41.72,0.19,EXITO
7,12.62,0.75,EXITO
8,16.46,0.64,EXITO
8,6.40,0.86,EXITO
9,8.74,0.81,EXITO
10,17.38,0.66,EXITO
11,19.76,0.69,EXITO
12,6.14,0.90,EXITO
12,18.40,0.58,EXITO
13,10.94,0.80,EXITO
15,5.02,0.90,EXITO
14,17.08,0.63,EXITO
16,14.18,0.76,EXITO
16,19.08,0.61,EXITO
17,4.69,0.91,EXITO
18,14.62,0.68,EXITO
19,6.20,0.91,EXITO
22,6.72,0.93,EXITO
22,13.60,0.76,EXITO
22,8.12,0.94,EXITO
23,8.37,0.84,EXITO
23,6.56,0.86,EXITO
24,8.46,1.03,EXITO
23,6.56,0.87,EXITO
24,2.62,0.96,EXITO
23,16.04,0.74,EXITO
25,18.52,0.67,EXITO
26,10.40,0.88,EXITO
27,11.56,0.77,EXITO
27,13.60,0.88,EXITO
25,17.42,0.79,EXITO
26,11.84,0.84,EXITO
28,8.28,1.00,EXITO
26,18.64,0.72,EXITO
27,4.80,1.13,EXITO
28,7.44,1.00,EXITO
29,4.76,0.98,EXITO
30,6.48,1.02,EXITO
30,3.65,0.94,EXITO
30,1.82,1.00,EXITO
34,3.12,1.04,EXITO
32,2.62,1.01,EXITO
7,0.82,1.01,EXITO
33,2.80,0.94,EXITO
33,7.50,1.06,EXITO
34,18.79,0.73,EXITO
35,5.10,0.94,EXITO
35,6.00,1.08,EXITO
35,6.08,1.06,EXITO
36,5.19,1.08,EXITO
38,1.96,1.06,EXITO
38,6.58,1.11,EXITO
37,15.34,0.77,EXITO
38,2.24,1.07,EXITO
37,3.96,0.93,EXITO
38,7.16,1.09,EXITO
40,15.66,0.82,EXITO
41,0.32,1.06,EXITO
41,4.30,0.92,EXITO
42,9.27,0.96,EXITO
41,2.46,0.96,EXITO
40,1.36,1.01,EXITO
41,8.54,0.95,EXITO
42,4.78,1.01,EXITO
42,10.58,0.95,EXITO
42,8.78,0.99,EXITO
44,3.42,1.04,EXITO
43,4.08,1.01,EXITO
45,0.36,0.99,EXITO
44,9.48,1.01,EXITO
44,7.32,0.87,EXITO
45,9.02,0.85,EXITO
44,3.06,1.03,EXITO
46,3.02,1.19,EXITO
45,0.38,1.00,EXITO
47,7.78,0.85,EXITO
47,3.88,0.97,EXITO
46,1.78,1.13,EXITO
46,2.96,1.00,EXITO
48,3.56,1.11,EXITO
49,3.66,1.03,EXITO
49,1.63,0.99,EXITO
47,0.58,1.07,EXITO
46,1.64,0.98,EXITO
50,0.88,1.03,EXITO
50,6.68,1.02,EXITO
51,9.44,1.01,EXITO
49,4.30,1.16,EXITO
52,5.06,0.98,EXITO
53,6.56,1.04,EXITO
55,0.78,1.02,EXITO
53,0.78,1.11,EXITO
54,7.33,0.93,EXITO
56,1.28,1.03,EXITO
57,2.02,1.12,EXITO
59,3.96,0.93,EXITO
58,4.41,1.17,EXITO
59,3.96,1.07,EXITO
60,5.14,0.89,EXITO
59,7.40,1.10,EXITO
57,4.60,1.14,EXITO
61,2.70,1.03,EXITO
62,2.45,1.00,EXITO
61,0.56,1.01,EXITO
59,3.62,1.08,EXITO
62,3.74,0.97,EXITO
64,0.80,1.06,EXITO
65,2.96,1.00,EXITO
63,2.96,1.19,EXITO
65,3.58,1.18,EXITO
68,5.70,1.09,EXITO
65,4.18,0.96,EXITO
65,1.52,1.16,EXITO
67,2.94,1.00,EXITO
67,0.76,1.00,EXITO
68,3.54,1.14,EXITO
68,1.06,1.02,EXITO
68,1.54,1.00,EXITO
67,2.70,0.97,EXITO
68,1.20,1.26,EXITO
69,5.88,1.09,EXITO
70,2.18,1.07,EXITO
69,0.30,1.03,EXITO
72,2.54,1.05,EXITO
71,10.14,0.94,EXITO
74,1.18,1.25,EXITO
74,1.84,1.18,EXITO
76,2.02,1.23,EXITO
75,4.12,0.97,EXITO
76,2.10,1.21,EXITO
78,2.18,1.10,EXITO
77,2.06,1.26,EXITO
16,2.08,1.01,EXITO
80,1.98,1.15,EXITO
78,1.12,1.22,EXITO
77,2.98,1.19,EXITO
81,1.44,1.15,EXITO
83,1.86,1.05,EXITO
80,1.28,1.08,EXITO
80,12.64,0.93,EXITO
82,4.42,1.01,EXITO
82,3.46,0.94,EXITO
82,0.60,1.06,EXITO
86,2.56,1.16,EXITO
85,1.50,0.98,EXITO
85,2.62,1.07,EXITO
87,2.90,1.12,EXITO
84,1.24,1.03,EXITO
90,1.94,1.21,EXITO
87,0.62,1.03,EXITO
