Episodio,Tiempo(s),RecompensaTotal,Resultado
1,7.24,0.86,EXITO
1,12.38,0.73,EXITO
2,8.26,0.85,EXITO
3,8.72,0.83,EXITO
4,17.88,0.61,EXITO
7,12.56,0.71,EXITO
7,12.82,0.71,EXITO
8,11.42,0.74,EXITO
9,12.52,0.74,EXITO
9,14.50,0.66,EXITO
10,0.70,0.99,EXITO
9,10.52,0.77,EXITO
10,8.52,0.82,EXITO
10,14.14,0.74,EXITO
13,0.24,1.01,EXITO
13,3.62,0.94,EXITO
14,10.82,0.79,EXITO
14,18.16,0.69,EXITO
14,14.04,0.78,EXITO
19,17.44,0.64,EXITO
19,17.54,0.63,EXITO
21,8.36,0.90,EXITO
20,11.08,0.79,EXITO
20,19.66,0.66,EXITO
21,10.40,0.81,EXITO
22,10.52,0.84,EXITO
22,4.82,1.02,EXITO
23,15.22,0.68,EXITO
23,16.46,0.80,EXITO
24,9.26,0.86,EXITO
25,4.88,1.00,EXITO
24,6.46,0.91,EXITO
24,18.20,0.77,EXITO
26,15.16,0.74,EXITO
25,13.14,0.84,EXITO
25,12.10,0.84,EXITO
26,5.27,1.14,EXITO
26,8.42,0.87,EXITO
28,9.62,0.86,EXITO
28,3.04,0.96,EXITO
28,12.56,0.97,EXITO
27,11.68,0.90,EXITO
30,14.80,0.91,EXITO
30,6.54,0.95,EXITO
32,6.36,0.91,EXITO
30,14.98,0.78,EXITO
6,8.80,0.89,EXITO
32,3.52,1.02,EXITO
31,10.88,0.98,EXITO
33,7.62,0.98,EXITO
32,9.60,0.97,EXITO
33,10.16,0.99,EXITO
32,3.10,0.96,EXITO
33,11.00,0.82,EXITO
34,3.40,1.02,EXITO
37,6.76,1.10,EXITO
39,2.90,1.03,EXITO
37,6.56,1.02,EXITO
40,4.63,0.97,EXITO
38,8.24,0.96,EXITO
41,5.46,1.10,EXITO
40,6.40,1.03,EXITO
43,6.84,0.92,EXITO
41,6.56,1.04,EXITO
41,5.56,1.12,EXITO
42,7.66,1.09,EXITO
43,10.28,1.01,EXITO
43,3.78,0.94,EXITO
45,1.88,1.09,EXITO
43,3.00,1.02,EXITO
44,8.32,1.06,EXITO
47,8.12,0.98,EXITO
44,5.74,1.10,EXITO
48,2.94,0.97,EXITO
48,4.91,0.93,EXITO
47,1.60,0.99,EXITO
