Episodio,Tiempo(s),RecompensaTotal,Resultado
3,4.66,0.91,EXITO
4,3.94,0.93,EXITO
5,8.99,0.83,EXITO
5,9.92,0.79,EXITO
6,6.64,0.88,EXITO
8,5.86,0.88,EXITO
9,2.52,0.94,EXITO
8,7.54,0.85,EXITO
8,7.70,0.82,EXITO
8,8.44,0.81,EXITO
9,9.28,0.80,EXITO
12,2.52,0.96,EXITO
13,6.74,0.84,EXITO
17,8.46,0.81,EXITO
20,9.70,0.79,EXITO
22,6.73,0.92,EXITO
22,9.08,0.79,EXITO
25,1.32,0.98,EXITO
25,4.78,0.90,EXITO
28,0.78,0.99,EXITO
29,1.54,0.97,EXITO
32,8.14,0.85,EXITO
34,1.58,0.99,EXITO
38,5.38,0.90,EXITO
38,8.66,0.90,EXITO
38,7.10,0.85,EXITO
43,9.96,0.85,EXITO
42,4.52,0.91,EXITO
43,1.96,0.99,EXITO
44,8.38,0.89,EXITO
45,2.24,0.99,EXITO
46,9.02,0.83,EXITO
47,1.16,1.00,EXITO
48,7.06,0.87,EXITO
49,1.84,1.05,EXITO
51,6.10,0.86,EXITO
58,0.62,0.99,EXITO
54,9.10,0.90,EXITO
56,4.44,0.93,EXITO
56,1.92,0.99,EXITO
57,9.76,0.86,EXITO
59,8.58,0.94,EXITO
59,1.66,1.00,EXITO
61,2.32,1.01,EXITO
59,8.42,0.87,EXITO
61,4.72,0.94,EXITO
62,8.40,0.90,EXITO
62,6.16,0.93,EXITO
64,5.70,0.90,EXITO
65,8.62,0.84,EXITO
66,4.94,0.92,EXITO
66,6.76,0.98,EXITO
67,8.04,0.93,EXITO
71,2.14,0.99,EXITO
70,7.02,0.87,EXITO
72,8.68,0.83,EXITO
78,4.66,1.03,EXITO
75,4.80,0.91,EXITO
75,8.36,0.89,EXITO
75,5.14,1.02,EXITO
77,2.64,0.96,EXITO
78,0.73,1.00,EXITO
75,4.50,0.97,EXITO
77,8.94,1.00,EXITO
78,3.98,0.93,EXITO
78,9.18,1.02,EXITO
82,9.90,0.95,EXITO
80,2.56,1.02,EXITO
85,5.94,0.98,EXITO
84,5.62,0.93,EXITO
85,8.14,0.95,EXITO
86,3.34,1.11,EXITO
85,9.70,0.91,EXITO
88,1.12,1.00,EXITO
88,4.92,1.08,EXITO
89,3.09,0.99,EXITO
89,0.98,0.99,EXITO
89,5.46,0.94,EXITO
87,6.14,1.14,EXITO
90,0.96,0.99,EXITO
93,7.12,0.96,EXITO
89,7.88,0.88,EXITO
89,5.84,0.87,EXITO
91,4.26,0.92,EXITO
89,9.28,1.03,EXITO
93,5.92,0.96,EXITO
93,3.50,0.94,EXITO
92,3.00,1.07,EXITO
9,7.04,1.10,EXITO
94,1.64,1.03,EXITO
96,4.42,0.98,EXITO
92,1.44,0.99,EXITO
95,6.14,1.07,EXITO
96,3.78,0.96,EXITO
96,3.90,1.09,EXITO
98,3.88,0.98,EXITO
100,0.52,1.01,EXITO
98,4.62,1.00,EXITO
101,7.62,0.98,EXITO
98,3.14,1.17,EXITO
101,2.34,1.06,EXITO
100,0.70,1.02,EXITO
102,5.08,1.13,EXITO
103,4.72,1.02,EXITO
102,4.42,1.15,EXITO
102,2.22,1.05,EXITO
103,1.41,1.14,EXITO
101,3.28,1.14,EXITO
104,2.14,1.06,EXITO
104,5.90,0.94,EXITO
106,0.70,1.04,EXITO
102,2.66,0.98,EXITO
106,2.68,1.17,EXITO
104,2.52,1.19,EXITO
108,1.96,1.03,EXITO
107,5.80,1.02,EXITO
104,3.32,1.19,EXITO
107,1.68,1.05,EXITO
108,0.90,1.02,EXITO
106,1.74,1.11,EXITO
107,1.14,1.03,EXITO
110,1.62,1.18,EXITO
107,3.24,1.18,EXITO
110,4.36,1.21,EXITO
108,0.86,1.03,EXITO
109,5.02,1.04,EXITO
111,7.30,0.94,EXITO
111,0.32,1.02,EXITO
113,1.90,1.11,EXITO
112,4.52,1.16,EXITO
113,1.39,1.07,EXITO
112,3.78,1.01,EXITO
114,2.30,0.98,EXITO
112,3.76,0.99,EXITO
113,1.68,1.17,EXITO
116,4.06,1.02,EXITO
118,4.36,1.07,EXITO
116,1.96,1.07,EXITO
120,1.18,1.15,EXITO
119,0.44,1.03,EXITO
117,1.26,1.27,EXITO
121,2.32,1.01,EXITO
121,2.00,1.25,EXITO
122,0.39,1.03,EXITO
121,1.48,1.00,EXITO
123,3.18,1.11,EXITO
122,2.68,0.99,EXITO
